Name,2019 Population,GDP (IMF),GDP (UN '16),GDP Per Capita
Nicaragua,6351.157,15.499,13.23021488,2440.34276
Mozambique,31408.823,15.017,10.93013157,478.1140637
Brunei,439.336,14.791,11.40026688,33666.71522
Mauritius,1271.368,14.217,12.21623502,11182.44285
Namibia,2641.996,14.071,10.94727725,5325.897541
Macedonia,2086.72,13.904,10.74578259,6663.088483
Mongolia,3166.244,13.786,11.16035669,4354.054836
Madagascar,26969.642,13.559,11.22226385,502.7504629
Bahamas,403.095,12.899,11.2618,31999.90077
Armenia,2936.706,12.696,10.57229943,4323.211108
Chad,15814.345,12.24,11.26729577,773.9808383
Benin,11801.595,12.2,8.893638002,1033.758572
Guinea,13398.18,11.698,8.476136811,873.1036603
Equatorial Guinea,1360.104,11.386,10.67794057,8371.418656
Republic of the Congo,5542.197,10.923,7.778081883,1970.879058
Niger,23176.691,10.717,7.528285819,462.4042319
Rwanda,12794.412,10.532,8.473784827,823.171866
Moldova,4029.75,9.903,6.772647958,2457.472548
Haiti,11242.856,9.751,7.647347306,867.3063143
Somalia,15636.171,8.21,1.318057519,525.0646082
Tajikistan,9292,8.176,6.951679338,879.8966853
Kyrgyzstan,6218.616,8.029,6.55129114,1291.123298
Eritrea,5309.659,7.717,5.413804303,1453.389003
Malawi,19718.743,7.024,5.318197658,356.2093182
Togo,8186.384,6.078,4.449262345,742.4523453
Montenegro,629.355,5.862,4.373958354,9314.297972
Fiji,918.757,5.794,4.671118364,6306.346509
Mauritania,4661.149,5.54,4.66711932,1188.548146
Barbados,287.01,5.516,4.552793288,19218.84255
Maldives,451.738,5.169,4.224207488,11442.47329
Swaziland,1415.414,4.644,4.007002048,3281.01884
Burundi,11575.964,4.526,2.873699606,390.9825566
Suriname,573.085,4.226,3.278445033,7374.124257
Sierra Leone,7883.123,3.976,3.674756785,504.3686366
Guyana,786.508,3.911,3.436626633,4972.61312
Liberia,4977.72,3.534,2.756817825,709.9635978
Lesotho,2292.682,3.062,2.241017076,1335.553731
Timor-Leste,1352.36,3.029,2.703285752,2239.788222
South Sudan,13263.184,2.807,6.534451826,211.6384723
Bhutan,826.229,2.8,2.212642587,3388.890973
Djibouti,985.69,2.38,1.891520369,2414.552243
Central African Republic,4825.711,2.334,1.81038874,483.6592991
Cape Verde,560.349,2.099,1.638928099,3745.8798
Belize,390.231,1.987,1.7411,5091.855849
San Marino,33.683,1.864,1.590761265,55339.48876
Saint Lucia,180.454,1.825,1.397066906,10113.3807
Guinea-Bissau,1953.723,1.728,1.122643236,884.465198
Antigua and Barbuda,104.084,1.693,1.460157909,16265.70847
Seychelles,95.702,1.659,1.433826317,17335.06092
Solomon Islands,635.254,1.463,1.133967215,2303.015802
Grenada,108.825,1.249,1.016208148,11477.1422
Gambia,2228.075,1.159,0.985831536,520.179976
Vanuatu,288.017,1.024,0.83751979,3555.345691
Saint Kitts and Nevis,56.345,1.024,0.90985462,18173.751
Samoa,198.909,0.92,0.822233281,4625.230633
Saint Vincent and the Grenadines,110.488,0.871,0.765318745,7883.209036
Comoros,850.91,0.781,1.149802573,917.8408997
Dominica,74.679,0.542,0.581484032,7257.72975
Sao Tome and Principe,213.379,0.489,0.342781695,2291.696934
Tonga,110.041,0.454,0.401460313,4125.734953
Micronesia,106.983,0.342,0.329895643,3196.76958
Palau,22.206,0.341,0.310248,15356.21003
Kiribati,120.428,0.22,0.173655146,1826.817684
Marshall Islands,53.211,0.211,0.183,3965.345511
Nauru,11.26,0.114,0.103469824,10124.33393
Tuvalu,11.393,0.045,0.036697185,3949.793733
Turks and Caicos Islands,36.461,0,0.917550492,25165.25855
Syria,18499.181,0,22.16307512,1198.057099
Sudan,42514.094,0,82.8873959,1949.64512
Palestine,5186.79,0,13.3971,2582.927013
Sint Maarten,40.939,0,1.072067039,26186.93761
Pakistan,204596.442,0,282.5060079,1380.796289
New Caledonia,283.376,0,9.445714851,33332.79759
Montserrat,5.22,0,0.062051375,11887.23659
Monaco,39.102,0,6.468000877,165413.5563
Liechtenstein,38.404,0,6.193677543,161276.8863
Greenland,56.673,0,2.282927882,40282.46047
French Polynesia,288.506,0,5.417934152,18779.27721
Egypt,101168.745,0,270.1438134,2670.229955
North Korea,25727.408,0,16.78860183,652.5570641
Cura̤ao,162.547,0,3.121449966,19203.36866
Cuba,11492.046,0,89.6887,7804.415332
Cook Islands,17.462,0,0.290194195,16618.61156
Cayman Islands,63.129,0,3.844080626,60892.46822
British Virgin Islands,32.206,0,0.97123711,30157.02385
Bermuda,60.833,0,6.127341,100723.9656
Aruba,106.053,0,2.667039106,25148.1722
Anguilla,15.174,0,0.33752047,22243.3419
Andorra,77.072,0,2.858406626,37087.48477
